"manyID","treatyID","Title","Beg","stateID","Signature","Force","StateName","gptadID","destaID","changes","StateRatification","StateSignature","StateForce","StateEnd","DataCollection"
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","CIV","1959-01-01",NA,"Côte d’Ivoire",NA,"779",1,NA,NA,NA,NA,1
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","MLI","1959-01-01",NA,"Mali",NA,"779",1,NA,NA,NA,NA,1
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","MRT","1959-01-01",NA,"Mauritania",NA,"779",1,NA,NA,NA,NA,1
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","NER","1959-01-01",NA,"Niger",NA,"779",1,NA,NA,NA,NA,1
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","SEN","1959-01-01",NA,"Senegal",NA,"779",1,NA,NA,NA,NA,1
"AUS-CAN[NA]_1960O","AUS-CAN[NA]_1960O","Australia Canada","1960-02-12","AUS","1960-02-12","1960-06-30","Australia",NA,"74",1,NA,"21958","1960-06-30",NA,2
"AUS-CAN[NA]_1960O","AUS-CAN[NA]_1960O","Australia Canada","1960-02-12","CAN","1960-02-12","1960-06-30","Canada",NA,"74",1,NA,"21958","1960-06-30",NA,2
"FIN-RUS[NA]_1960O","FIN-RUS[NA]_1960O","Finland USSR","1960-01-01","FIN","1960-01-01",NA,"Finland",NA,"451",1,NA,NA,NA,NA,1
"FIN-RUS[NA]_1960O","FIN-RUS[NA]_1960O","Finland USSR","1960-01-01","RUS","1960-01-01",NA,"Russia",NA,"451",1,NA,NA,NA,NA,1
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","ARG","1960-02-18","1962-01-02","Argentina",NA,"561",1,NA,"21964","1962-01-02",NA,2
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","BRA","1960-02-18","1962-01-02","Brazil",NA,"561",1,NA,"21964","1962-01-02",NA,2
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","CHL","1960-02-18","1962-01-02","Chile",NA,"561",1,NA,"21964","1962-01-02",NA,2
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","MEX","1960-02-18","1962-01-02","Mexico",NA,"561",1,NA,"21964","1962-01-02",NA,2
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","PER","1960-02-18","1962-01-02","Peru",NA,"561",1,NA,"21964","1962-01-02",NA,2
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","PRY","1960-02-18","1962-01-02","Paraguay",NA,"561",1,NA,"21964","1962-01-02",NA,2
"LTAFTA_1960O","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","URY","1960-02-18","1962-01-02","Uruguay",NA,"561",1,NA,"21964","1962-01-02",NA,2
"TRTYEA_1960A","TRTYEA_1960A","Treaty Of Economic Association","1960-01-01","GTM","1960-01-01","1961-01-01","Guatemala",NA,"680",1,NA,NA,NA,NA,1
"TRTYEA_1960A","TRTYEA_1960A","Treaty Of Economic Association","1960-01-01","HND","1960-01-01","1961-01-01","Honduras",NA,"680",1,NA,NA,NA,NA,1
"TRTYEA_1960A","TRTYEA_1960A","Treaty Of Economic Association","1960-01-01","SLV","1960-01-01","1961-01-01","El Salvador",NA,"680",1,NA,NA,NA,NA,1
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","AUT","1960-01-04","1960-03-05","Austria","177",NA,1,NA,"21919","1960-03-05",NA,2
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","CHE","1960-01-04","1960-03-05","Switzerland","177",NA,1,NA,"21919","1960-03-05",NA,2
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","DNK","1960-01-04","1960-03-05","Denmark","177",NA,1,NA,"21919","1960-03-05",NA,2
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","GBR","1960-01-04","1960-03-05","United Kingdom","177",NA,1,NA,"21919","1960-03-05",NA,2
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","NOR","1960-01-04","1960-03-05","Norway","177",NA,1,NA,"21919","1960-03-05",NA,2
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","PRT","1960-01-04","1960-03-05","Portugal","177",NA,1,NA,"21919","1960-03-05",NA,2
"EFTA_1960A","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","SWE","1960-01-04","1960-03-05","Sweden","177",NA,1,NA,"21919","1960-03-05",NA,2
"CNTACM_1960O","CNTACM_1960O","Central American Common Market (CACM)","1960-12-13","GTM","1960-12-13","1961-06-04","Guatemala","82","186",1,NA,"22263","1961-06-04",NA,2
"CNTACM_1960O","CNTACM_1960O","Central American Common Market (CACM)","1960-12-13","HND","1960-12-13","1961-06-04","Honduras","82","186",1,NA,"22263","1961-06-04",NA,2
"CNTACM_1960O","CNTACM_1960O","Central American Common Market (CACM)","1960-12-13","NIC","1960-12-13","1961-06-04","Nicaragua","82","186",1,NA,"22263","1961-06-04",NA,2
"CNTACM_1960O","CNTACM_1960O","Central American Common Market (CACM)","1960-12-13","SLV","1960-12-13","1961-06-04","El Salvador","82","186",1,NA,"22263","1961-06-04",NA,2
"BFA-GHA[UVT]_1961A","BFA-GHA[UVT]_1961A","Ghana Upper Volta Trade Agreement","1961-06-28","BFA","1961-06-28",NA,"Burkina Faso",NA,"460",1,NA,"22460",NA,NA,2
"BFA-GHA[UVT]_1961A","BFA-GHA[UVT]_1961A","Ghana Upper Volta Trade Agreement","1961-06-28","GHA","1961-06-28",NA,"Ghana",NA,"460",1,NA,"22460",NA,NA,2
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","ARG","1961",NA,"Argentina",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","BRA","1961",NA,"Brazil",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","CHL","1961",NA,"Chile",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","COL","1961",NA,"Colombia",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","ECU","1961",NA,"Ecuador",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","MEX","1961",NA,"Mexico",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","PER","1961",NA,"Peru",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","PRY","1961",NA,"Paraguay",NA,"561",0,NA,NA,NA,NA,1
"COL-ECU[TAA]_1961O","COL-ECU[TAA]_1961O","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961","URY","1961",NA,"Uruguay",NA,"561",0,NA,NA,NA,NA,1
"CSTRNP_1961O","CSTRNP_1961O","Costa Rica Nicaragua Panama","1961-01-01","CRI","1961-01-01","1962-01-01","Costa Rica",NA,"249",1,NA,NA,NA,NA,1
"CSTRNP_1961O","CSTRNP_1961O","Costa Rica Nicaragua Panama","1961-01-01","NIC","1961-01-01","1962-01-01","Nicaragua",NA,"249",1,NA,NA,NA,NA,1
"CSTRNP_1961O","CSTRNP_1961O","Costa Rica Nicaragua Panama","1961-01-01","PAN","1961-01-01","1962-01-01","Panama",NA,"249",1,NA,NA,NA,NA,1
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","BEL","1961-07-09","1962-11-01","Belgium",NA,"311",1,NA,NA,NA,NA,1
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","DEU","1961-07-09","1962-11-01","Germany",NA,"311",1,NA,NA,NA,NA,1
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","FRA","1961-07-09","1962-11-01","France",NA,"311",1,NA,NA,NA,NA,1
