"manyID","treatyID","Title","Beg","stateID","Signature","Force","StateName","gptadID","destaID","changes"
"ECENLR_1972O","ECENLR_1972O","EC (9) Enlargement","1972-01-22","ITA","1972-01-22","1973-01-01","Italy","129","293",0
"ECENLR_1972O","ECENLR_1972O","EC (9) Enlargement","1972-01-22","LUX","1972-01-22","1973-01-01","Luxembourg","129","293",0
"ECENLR_1972O","ECENLR_1972O","EC (9) Enlargement","1972-01-22","NLD","1972-01-22","1973-01-01","Netherlands","129","293",0
"ANGCVA_1973A","ANGCVA_1973A","Andean Group Cartagena Agreement Venezuela Accession","1973","BOL","1973",NA,"Bolivia",NA,"26",0
"ANGCVA_1973A","ANGCVA_1973A","Andean Group Cartagena Agreement Venezuela Accession","1973","CHL","1973",NA,"Chile",NA,"26",0
"ANGCVA_1973A","ANGCVA_1973A","Andean Group Cartagena Agreement Venezuela Accession","1973","COL","1973",NA,"Colombia",NA,"26",0
"ANGCVA_1973A","ANGCVA_1973A","Andean Group Cartagena Agreement Venezuela Accession","1973","ECU","1973",NA,"Ecuador",NA,"26",0
"ANGCVA_1973A","ANGCVA_1973A","Andean Group Cartagena Agreement Venezuela Accession","1973","PER","1973",NA,"Peru",NA,"26",0
"ANGCVA_1973A","ANGCVA_1973A","Andean Group Cartagena Agreement Venezuela Accession","1973","VEN","1973",NA,"Venezuela",NA,"26",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","AUT","1973",NA,"Austria",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","CHE","1973",NA,"Switzerland",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","DNK","1973",NA,"Denmark",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","GBR","1973",NA,"United Kingdom",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","ISL","1973",NA,"Iceland",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","NOR","1973",NA,"Norway",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","PRT","1973",NA,"Portugal",NA,"375",0
"DNK-GBR[EFW]_1973O","DNK-GBR[EFW]_1973O","EFTA Withdrawal Denmark UK","1973","SWE","1973",NA,"Sweden",NA,"375",0
"ARCMLA_1975O","ARCMLA_1975O","Arab Common Market Libya Accession","1975","EGY","1975",NA,"Egypt",NA,"29",0
"ARCMLA_1975O","ARCMLA_1975O","Arab Common Market Libya Accession","1975","IRQ","1975",NA,"Iraq",NA,"29",0
"ARCMLA_1975O","ARCMLA_1975O","Arab Common Market Libya Accession","1975","JOR","1975",NA,"Jordan",NA,"29",0
"ARCMLA_1975O","ARCMLA_1975O","Arab Common Market Libya Accession","1975","LBY","1975",NA,"Libya",NA,"29",0
"ARCMLA_1975O","ARCMLA_1975O","Arab Common Market Libya Accession","1975","SYR","1975",NA,"Syria",NA,"29",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","BEL","1975","1975","Belgium",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","DEU","1975","1975","Germany",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","DNK","1975","1975","Denmark",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","FRA","1975","1975","France",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","GBR","1975","1975","United Kingdom",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","IRL","1975","1975","Ireland",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","ISR","1975","1975","Israel",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","ITA","1975","1975","Italy",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","LUX","1975","1975","Luxembourg",NA,"315",0
"ECISRL_1975O","ECISRL_1975O","EC Israel","1975","NLD","1975","1975","Netherlands",NA,"315",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","BEN","1976",NA,"Benin",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","BFA","1976",NA,"Burkina Faso",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","CIV","1976",NA,"Côte d’Ivoire",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","CPV","1976",NA,"Cape Verde",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","GHA","1976",NA,"Ghana",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","GMB","1976",NA,"Gambia",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","GNB","1976",NA,"Guinea-Bissau",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","LBR","1976",NA,"Liberia",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","MLI","1976",NA,"Mali",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","MRT","1976",NA,"Mauritania",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","NER","1976",NA,"Niger",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","NGA","1976",NA,"Nigeria",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","SEN","1976",NA,"Senegal",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","SLE","1976",NA,"Sierra Leone",NA,"366",0
"EC05VA_1976O","EC05VA_1976O","Economic Community Of West African States (ECOWAS) Cape Verde Accession","1976","TGO","1976",NA,"Togo",NA,"366",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","BEL","1977","1978","Belgium",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","DEU","1977","1978","Germany",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","DNK","1977","1978","Denmark",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","FRA","1977","1978","France",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","GBR","1977","1978","United Kingdom",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","IRL","1977","1978","Ireland",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","ITA","1977","1978","Italy",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","LBN","1977","1978","Lebanon",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","LUX","1977","1978","Luxembourg",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977","NLD","1977","1978","Netherlands",NA,"322",0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977-03-05","BEL","1977-03-05","1977-01-07","Belgium","152",NA,0
"ECLBNN_1977O","ECLBNN_1977O","EC Lebanon","1977-03-05","DEU","1977-03-05","1977-01-07","Germany (Prussia)","152",NA,0
