"","manyID","CountryID","Title","Beg"
"112","CNTACM_1960O:CNTACM_1960O","SLV","Central American Common Market (CACM)","1960-13-12"
"113","CNTACM_1960O:CNTACM_1960O","GTM","Central American Common Market (CACM)","1960-13-12"
"114","CNTACM_1960O:CNTACM_1960O","HND","Central American Common Market (CACM)","1960-13-12"
"115","CNTACM_1960O:CNTACM_1960O","NIC","Central American Common Market (CACM)","1960-13-12"
"116","CSTRNP_1961O:CSTRNP_1961O","CRI","Costa Rica Nicaragua Panama","1961"
"117","CSTRNP_1961O:CSTRNP_1961O","NIC","Costa Rica Nicaragua Panama","1961"
"118","CSTRNP_1961O:CSTRNP_1961O","PAN","Costa Rica Nicaragua Panama","1961"
"119","GRC-EC[ECA]_1961A","BEL","EC Greece Association Agreement","1961"
"120","GRC-EC[ECA]_1961A","DEU","EC Greece Association Agreement","1961"
"121","GRC-EC[ECA]_1961A","FRA","EC Greece Association Agreement","1961"
"122","GRC-EC[ECA]_1961A","ITA","EC Greece Association Agreement","1961"
"123","GRC-EC[ECA]_1961A","LUX","EC Greece Association Agreement","1961"
"124","GRC-EC[ECA]_1961A","NLD","EC Greece Association Agreement","1961"
"125","GRC-EC[ECA]_1961A","GRC","EC Greece Association Agreement","1961"
"126","EQCUCA_1961O:EQCUCA_1961O","CAF","Equatorial Customs Union Cameroon Accession","1961"
"127","EQCUCA_1961O:EQCUCA_1961O","TCD","Equatorial Customs Union Cameroon Accession","1961"
"128","EQCUCA_1961O:EQCUCA_1961O","GAB","Equatorial Customs Union Cameroon Accession","1961"
"129","EQCUCA_1961O:EQCUCA_1961O","COG","Equatorial Customs Union Cameroon Accession","1961"
"130","EQCUCA_1961O:EQCUCA_1961O","CMR","Equatorial Customs Union Cameroon Accession","1961"
"131","EFTFNL_1961O:EFTFNL_1961O","AUT","EFTA Finland","1961"
"132","EFTFNL_1961O:EFTFNL_1961O","DNK","EFTA Finland","1961"
"133","EFTFNL_1961O:EFTFNL_1961O","PRT","EFTA Finland","1961"
"134","EFTFNL_1961O:EFTFNL_1961O","CHE","EFTA Finland","1961"
"135","EFTFNL_1961O:EFTFNL_1961O","NOR","EFTA Finland","1961"
"136","EFTFNL_1961O:EFTFNL_1961O","SWE","EFTA Finland","1961"
"137","EFTFNL_1961O:EFTFNL_1961O","GBR","EFTA Finland","1961"
"138","EFTFNL_1961O:EFTFNL_1961O","FIN","EFTA Finland","1961"
"139","BFA-GHA[UVT]_1961A","GHA","Ghana Upper Volta Trade Agreement","1961"
"140","BFA-GHA[UVT]_1961A","BFA","Ghana Upper Volta Trade Agreement","1961"
"141","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","ARG","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"142","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","BRA","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"143","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","CHL","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"144","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","MEX","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"145","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","PRY","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"146","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","PER","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"147","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","URY","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"148","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","COL","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"149","COL-ECU[TAA]_1961O:COL-ECU[TAA]_1961O","ECU","Latin American Free Trade Area (LAFTA) Colombia And Ecuador Accession","1961"
"150","IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O","IRQ","Iraq Syria","1961"
"151","IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O","SYR","Iraq Syria","1961"
"152","AFRCCM_1962O:AFRCCM_1962O","DZA","African Common Market","1962"
"153","AFRCCM_1962O:AFRCCM_1962O","EGY","African Common Market","1962"
"154","AFRCCM_1962O:AFRCCM_1962O","GHA","African Common Market","1962"
"155","AFRCCM_1962O:AFRCCM_1962O","GIN","African Common Market","1962"
"156","AFRCCM_1962O:AFRCCM_1962O","MLI","African Common Market","1962"
"157","AFRCCM_1962O:AFRCCM_1962O","MAR","African Common Market","1962"
"158","ARBCMM_1962O:ARBCMM_1962O","EGY","Arab Common Market","1962"
"159","ARBCMM_1962O:ARBCMM_1962O","JOR","Arab Common Market","1962"
"160","ARBCMM_1962O:ARBCMM_1962O","IRQ","Arab Common Market","1962"
"161","ARBCMM_1962O:ARBCMM_1962O","SYR","Arab Common Market","1962"
"162","CA04RA_1962O:CA04RA_1962O","SLV","Central American Common Market (CACM) Costa Rica Accession","1962"
"163","CA04RA_1962O:CA04RA_1962O","GTM","Central American Common Market (CACM) Costa Rica Accession","1962"
"164","CA04RA_1962O:CA04RA_1962O","HND","Central American Common Market (CACM) Costa Rica Accession","1962"
"165","CA04RA_1962O:CA04RA_1962O","NIC","Central American Common Market (CACM) Costa Rica Accession","1962"
"166","CA04RA_1962O:CA04RA_1962O","PAN","Central American Common Market (CACM) Costa Rica Accession","1962"
"167","CA04RA_1962O:CA04RA_1962O","CRI","Central American Common Market (CACM) Costa Rica Accession","1962"
"168","JOR-SAU[SDA]_1962O:JOR-SAU[SDA]_1962O","JOR","Jordan Saudi Arabia","1962"
"169","JOR-SAU[SDA]_1962O:JOR-SAU[SDA]_1962O","SAU","Jordan Saudi Arabia","1962"
"170","SEN-TUN[NA]_1962O:SEN-TUN[NA]_1962O","SEN","Senegal Tunisia","1962"
"171","SEN-TUN[NA]_1962O:SEN-TUN[NA]_1962O","TUN","Senegal Tunisia","1962"
"172","ECTRKA_1963A","BEL","EC Turkey Association Agreement (Ankara Agreement)","1963"
"173","ECTRKA_1963A","DEU","EC Turkey Association Agreement (Ankara Agreement)","1963"
"174","ECTRKA_1963A","FRA","EC Turkey Association Agreement (Ankara Agreement)","1963"
"175","ECTRKA_1963A","ITA","EC Turkey Association Agreement (Ankara Agreement)","1963"
"176","ECTRKA_1963A","LUX","EC Turkey Association Agreement (Ankara Agreement)","1963"
"177","ECTRKA_1963A","NLD","EC Turkey Association Agreement (Ankara Agreement)","1963"
"178","ECTRKA_1963A","TUR","EC Turkey Association Agreement (Ankara Agreement)","1963"
"179","FRA-MCO[NA]_1963O:FRA-MCO[NA]_1963O","FRA","France Monaco","1963"
"180","FRA-MCO[NA]_1963O:FRA-MCO[NA]_1963O","MCO","France Monaco","1963"
"181","YAOUND_1963O1:YAOUND_1963O1","BEL","Yaounde 1","1963"
"182","YAOUND_1963O1:YAOUND_1963O1","DEU","Yaounde 1","1963"
"183","YAOUND_1963O1:YAOUND_1963O1","FRA","Yaounde 1","1963"
"184","YAOUND_1963O1:YAOUND_1963O1","ITA","Yaounde 1","1963"
"185","YAOUND_1963O1:YAOUND_1963O1","LUX","Yaounde 1","1963"
"186","YAOUND_1963O1:YAOUND_1963O1","NLD","Yaounde 1","1963"
"187","YAOUND_1963O1:YAOUND_1963O1","BDI","Yaounde 1","1963"
"188","YAOUND_1963O1:YAOUND_1963O1","CMR","Yaounde 1","1963"
"189","YAOUND_1963O1:YAOUND_1963O1","CAF","Yaounde 1","1963"
"190","YAOUND_1963O1:YAOUND_1963O1","TCD","Yaounde 1","1963"
"191","YAOUND_1963O1:YAOUND_1963O1","COD","Yaounde 1","1963"
"192","YAOUND_1963O1:YAOUND_1963O1","BEN","Yaounde 1","1963"
"193","YAOUND_1963O1:YAOUND_1963O1","GAB","Yaounde 1","1963"
"194","YAOUND_1963O1:YAOUND_1963O1","CIV","Yaounde 1","1963"
"195","YAOUND_1963O1:YAOUND_1963O1","MDG","Yaounde 1","1963"
"196","YAOUND_1963O1:YAOUND_1963O1","MLI","Yaounde 1","1963"
"197","YAOUND_1963O1:YAOUND_1963O1","MRT","Yaounde 1","1963"
"198","YAOUND_1963O1:YAOUND_1963O1","NER","Yaounde 1","1963"
"199","YAOUND_1963O1:YAOUND_1963O1","COG","Yaounde 1","1963"
"200","YAOUND_1963O1:YAOUND_1963O1","RWA","Yaounde 1","1963"
"201","YAOUND_1963O1:YAOUND_1963O1","SEN","Yaounde 1","1963"
"202","YAOUND_1963O1:YAOUND_1963O1","SOM","Yaounde 1","1963"
"203","YAOUND_1963O1:YAOUND_1963O1","TGO","Yaounde 1","1963"
"204","YAOUND_1963O1:YAOUND_1963O1","BFA","Yaounde 1","1963"
"205","MAR-SEN[NA]_1963O:MAR-SEN[NA]_1963O","MAR","Morocco Senegal","1963"
"206","MAR-SEN[NA]_1963O:MAR-SEN[NA]_1963O","SEN","Morocco Senegal","1963"
"207","CNACEU_1964O:CNACEU_1964O","CAF","Central African Customs And Economic Union (UDEAC)","1964"
