"HUGGO_RowNumber";"manyID";"Title";"Signature";"Force";"url";"End";"Checked_HUGGO";"Parties";"No_source";"MetaData_confirmed";"treatyID"
141;"LOME_1975O1:LOME_1975O1";"Lome 1";"1975-02-28";"1976-04-01";"http://www.acp.int/sites/acpsec.waw.be/files/Lome-Convention-I-en.pdf";NA;1;"Belgium, Denmark, Germany, France, Ireland, Italy, Luxembourg, Netherlands, United Kingdom, Bahamas, Barbados, Botswana, Burundi, Cameroon, Central African Republic, Congo, Ivory Coast, Dahomey, Ethiopia, Fiji, Gabon, Gambia, Ghana, Grenada, Guinea, Guinea Bissau, Equatorial Guinea, Guyana, Upper Volta, Jamaica, Kenya, Lesotho, Liberia, Malawi, Malagasy, Mali, Mauritius, Mauritania, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, Sudan, Swaziland, Tanzania, Chad, Togo, Tonga, Trinidad and Tobago, Uganda, Samoa, Zaire, Zambia";NA;2;"LOME_1975O1:LOME_1975O1"
148;"BANGKK_1975A";"Bangkok Agreement (now Known As APTA)";"1975-07-31";"1976-06-17";"https://wits.worldbank.org/GPTAD/PDF/archive/Bangkok.pdf";NA;1;"Bangladesh, China, India, Laos, Mongolia, South Korea, Sri Lanka";NA;1;"BANGKK_1975A"
152;"ECTUNS_1976O";"EC Tunisia";"1976-04-25";"1978-11-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:1978:265:FULL&from=en";NA;1;"Belgium, Denmark, Germany, France, Ireland, italy, Luxembourg, Netherlands, United Kingdom, Tunisia";NA;2;"ECTUNS_1976O"
156;"ECALGR_1976O";"EC Algeria";"1976-04-26";"1978-11-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:1978:263:FULL&from=en";"2005-08-31";NA;"Belgium, Denmark, Germany, Ireland, France, Italy, Luxembourg, Netherlands, United Kingdom, Algeria";NA;1;"ECALGR_1976O"
158;"AUS-PNG[NA]_1976O:AUS-PNG[NA]_1976O";"Australia Papua New Guinea (PATCRA)";"1976-11-06";"1977-02-01";"http://rtais.wto.org/rtadocs/139/TOA/English/PATCRAAgreement.pdf";"1991-09-20";1;"Australia, Papua New Guinea";NA;1;"AUS-PNG[NA]_1976O"
169;"ECSYRI_1977O";"EC Syria";"1977-01-08";"1977-07-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-Syria.pdf";NA;1;"Belgium, Denmark, Germany, France, Ireland, Italy, Luxembourg, Netherlands, United Kingdom, Syria";NA;2;"ECSYRI_1977O"
172;"LOME_1979O2:LOME_1975O1";"Lome 2";"1979-10-31";"1981-01-01";"https://edit.wti.org/app.php/document/show/pdf/8a201121-e8e8-4722-9657-9db3ef9f46ee";NA;1;"Belgium, Denmark, Germany, France, ireland, Italy, Luxembourg, Netherlands, United Kingdom, Bahamas, Barbados, Benin, Botswana, Burundi, Cameroon, Cape Verde, Central African Republic, Comoros, Congo, Ivory Coast, Jibuti, Dominica, Ethiopia, Fiji, Gabon, Gambia, Ghana, Grenada, Guinea, Guinea Bissau, Equatorial Guinea, Guyana, Upper Volta, Jamaica, Kenya, Kiribati, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Niger, Nigeria, Papua New Guinea, Rwanda, Saint Lucia, Western Samoa, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Solomon Islands, Somalia, Sudan, Surinam, Swaziland, Tanzania, Chad, Togo, Tonga, Trinidad and Tobago, Tuvalu, Uganda, Zaire, Zambia";NA;2;"LOME_1979O2:LOME_1975O1"
180;"SPRTEC_1980A";"South Pacific Regional Trade And Economic Cooperation Agreement (SPARTECA)";"1980-07-14";"1981-01-01";"https://wits.worldbank.org/gptad/pdf/archive/sparteca.pdf";NA;1;"Australia, the Cook Islands, Fiji, Kiribati, Nauru, New Zealand, Niue, Papua New Guinea, Solomon Islands, Tonga, Tuvalu, Western Samoa";NA;2;"SPRTEC_1980A"
181;"LTNAIA_1980O";"Latin American Integration Association (LAIA)";"1980-08-12";"1981-03-18";"https://edit.wti.org/document/show/ea727b54-492e-4788-a0ce-42bda81de547";NA;1;"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru, Uruguay, Venezuela";NA;2;"LTNAIA_1980O"
183;"CAN-NZL[NA]_1981O";"Canada New Zealand";"1981-09-25";"1982-01-01";"https://www.treaties.mfat.govt.nz/search/details/t/1402";NA;1;"New Zealand, Canada";NA;1;"CAN-NZL[NA]_1981O"
