"HUGGO_RowNumber";"manyID";"Title";"Signature";"Force";"url";"End";"Checked_HUGGO";"Parties";"No_source";"MetaData_confirmed";"treatyID"
477;"ECESTN_1994O";"EC Estonia";"1994-07-18";"";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-Estonia.pdf";"1998-01-31";NA;"Germany, France, Italy, The Netherlands, Belgium, Luxembourg, Denmark, Ireland, United Kingdom, Greece, Spain, Portugal, Austria, Finland, Sweden";NA;2;"ECESTN_1994O"
479;"KAZ-UKR[UKR]_1994O";"Ukraine Kazakhstan";"1994-09-17";"1998-10-19";"http://rtais.wto.org/rtadocs/572/TOA/English/FTA%20Ukraine%20-%20Kazakhstan_ToA.doc";NA;NA;"Ukraine, Kazakhstan";NA;2;"KAZ-UKR[UKR]_1994O"
481;"JOR-MAR[NA]_1994O:JOR-MAR[NA]_1994O";"Jordan Morocco";"1994-10-03";"1994-10-03";"https://wits.worldbank.org/GPTAD/PDF/archive/Jordan-Morocco.pdf";NA;NA;"Jordan, Morocco";NA;2;"JOR-MAR[NA]_1994O"
482;"ARM-UKR[UKR]_1994O";"Armenia Ukraine";"1994-10-07";"";"https://www.wto.org/english/thewto_e/acc_e/ukr_e/wtaccukr52_leg_1.pdf";NA;NA;"Armenia, Ukraine";NA;2;"ARM-UKR[UKR]_1994O"
484;"TKM-UKR[UKR]_1994O";"UkraineTurkmenistan";"1994-11-05";"1995-11-04";"http://rtais.wto.org/rtadocs/577/TOA/English/FTA%20Ukraine%20-%20Turkmenistan_ToA.doc";NA;NA;"Ukraine, Turkmenistan";NA;2;"TKM-UKR[UKR]_1994O"
485;"UKR-UZB[UKR]_1994O";"Ukraine Uzbekistan";"1994-12-29";"1996-01-01";"https://www.wto.org/english/thewto_e/acc_e/ukr_e/wtaccukr52_leg_23.pdf";NA;NA;"Ukraine, Uzbekistan";NA;2;"UKR-UZB[UKR]_1994O"
488;"ASEANS_1995O:ASEANS_1995O";"Association Of South East Asian Nations Services";"1995-12-15";"";"https://asean.org/bangkok-summit-declaration-of-1995-bangkok14-15-december-1995/";NA;NA;"Brunei, Cambodia, Indonesia, Lao PDR, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam";NA;2;"ASEANS_1995O:ASEANS_1995O"
493;"BGR-CZE[NA]_1995O";"Bulgaria Czech Republic";"1995-12-15";"1996-06-07";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/41N1.pdf&Open=True";NA;NA;"Czech Republic, Bulgaria";NA;2;"BGR-CZE[NA]_1995O"
498;"ECESTE_1995A";"EC Estonia Europe Agreement";"1995-06-12";"1998-02-01";"https://edit.wti.org/app.php/document/show/c44c2c4c-1a48-409b-b106-f0bd9cf6b443?textBlockId=0bd57714-7878-4522-9424-d293b4ec1126&page=6";"2004-05-01";NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Estonia";NA;1;"ECESTE_1995A"
499;"ECIEMA_1995A";"EC Israel Euro-Med Association Agreement";"1995-11-20";"2000-06-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2000:147:FULL&from=en";NA;NA;"Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Israel";NA;2;"ECIEMA_1995A"
500;"ECLTVE_1995A";"EC Latvia Europe Agreement";"1995-06-12";"1998-02-01";"https://edit.wti.org/document/show/fd516f7c-b0dc-4a74-9e7e-1f07bbf8582d";"2004-05-01";NA;"Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, LUxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Latvia";NA;1;"ECLTVE_1995A"
501;"ECLTHE_1995A";"EC Lithuania Europe Agreement";"1995-06-12";"1998-02-01";"https://edit.wti.org/app.php/document/show/241dc731-6182-417d-a7e8-92393f3ab433";"2004-05-01";NA;"Belgium, Denmark, Germany, Greece, Spain, France, ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Lithuania";NA;1;"ECLTHE_1995A"
502;"ECTEMA_1995A";"EC Tunisia Euro-Med Association Agreement";"1995-07-19";"1998-03-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A21998A0330%2801%29";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Tunisia";NA;1;"ECTEMA_1995A"
503;"ECTRKY_1995O";"EC Turkey";"1995-12-22";"1995-12-31";"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:21996D0213(01)&qid=1498928083545&from=EN";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom,Turkey";NA;1;"ECTRKY_1995O"
518;"GEO-UKR[UKR]_1995O";"Georgia Ukraine";"1995-01-09";"1996-06-04";"https://wits.worldbank.org/GPTAD/PDF/archive/Georgia-Ukraine.pdf";NA;NA;"Georgia, Ukraine";NA;1;"GEO-UKR[UKR]_1995O"
522;"EST-UKR[UKR]_1995O";"Estonia Ukraine";"1995-05-24";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Estonia-Ukraine.pdf";NA;NA;"Estonia, Ukraine";NA;2;"EST-UKR[UKR]_1995O"
524;"KGZ-MDA[MLD]_1995O";"Kyrgyzstan Moldova";"1995-05-26";"1996-11-21";"https://wits.worldbank.org/GPTAD/PDF/archive/Kyrgyzstan-Moldova.pdf";NA;NA;"Kyrgyzstan, Moldova";NA;1;"KGZ-MDA[MLD]_1995O"
525;"KGZ-UKR[UKR]_1995O";"Kyrgyzstan Ukraine";"1995-05-26";"1998-01-19";"https://wits.worldbank.org/GPTAD/PDF/archive/Kyrgyzstan-Ukraine.pdf";NA;NA;"Kyrgyzstan, Ukraine";NA;1;"KGZ-UKR[UKR]_1995O"
526;"ARM-IRN[IRN]_1995O";"Armenia-Iran";"1995-05-06";"1997-01-18";"https://wits.worldbank.org/GPTAD/PDF/archive/armenia-iran.pdf";NA;NA;"Armenia, Iran";NA;2;"ARM-IRN[IRN]_1995O"
527;"EFTLTV_1995O";"EFTA Slovenia";"1995-06-13";"1998-09-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Slovenia.pdf";NA;NA;"Iceland, Liechtenstein, Norway, Switzerland, Slovenia";NA;2;"EFTSLV_1995O"
529;"KAZ-KGZ[NA]_1995O";"Kazakhstan Kyrgyzstan";"1995-06-22";"1995-11-11";"https://wits.worldbank.org/GPTAD/PDF/archive/Kazakhstan-Kyrgyzstan.pdf";NA;NA;"Kazakhstan Kyrgyzstan";NA;2;"KAZ-KGZ[NA]_1995O"
532;"EFTEST_1995O";"EFTA Estonia";"1995-12-07";"1997-10-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Estonia.pdf";NA;NA;"Iceland, Liechtenstein, Norway, Switzerland, Estonia";NA;2;"EFTEST_1995O"
533;"AZE-UKR[UKR]_1995O";"Ukraine Azerbaijan";"1995-07-28";"1996-09-02";"http://rtais.wto.org/rtadocs/570/TOA/English/FTA%20Ukraine%20-%20Azerbaijan_ToA.doc";NA;NA;"Azerbaijan, Ukraine";NA;2;"AZE-UKR[UKR]_1995O"
534;"ARM-GEO[NA]_1995O";"Georgia Armenia";"1995-08-14";"1998-11-11";"https://wipolex-res.wipo.int/edocs/lexdocs/treaties/en/am-ge/trt_am_ge.pdf";NA;NA;"Georgia, Armenia";NA;2;"ARM-GEO[NA]_1995O"
535;"ARM-TKM[NA]_1995O";"Armenia Turkmenistan";"1995-10-03";"1996-07-07";"https://wipolex-res.wipo.int/edocs/lexdocs/treaties/en/am-tm/trt_am_tm.pdf";NA;NA;"Armenia, Turkmenistan";NA;2;"ARM-TKM[NA]_1995O"
536;"ISR-JOR[NA]_1995O:ISR-JOR[NA]_1995O";"Israel Jordan";"1995-10-25";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Isreal-Jordon.pdf";NA;NA;"Israel, Jordan";NA;2;"ISR-JOR[NA]_1995O"
543;"EFTLTV_1995O";"EFTA Latvia";"1995-12-07";"1996-06-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Latvia.pdf";NA;1;"Iceland, Liechtenstein, Norway, Switzerland, Latvia";NA;2;"EFTLTV_1995O"
544;"EFTLTH_1995O";"EFTA Lithuania";"1995-12-07";"1997-01-01";"https://lovdata.no/dokument/TRAKTATEN/traktat/1995-12-07-6/KAPITTEL_5-3#KAPITTEL_5-3";NA;NA;"Iceland, Liechtenstein, Norway, Switzerland, Lithuania";NA;2;"EFTLTH_1995O"
548;"ANDNCT_1996P";"Andean Community Trujillo Protocol";"1996-03-10";"1997-12-30";"https://www.wipo.int/wipolex/en/treaties/details/404";NA;NA;"Bolivia, Colombia, Ecuador, Peru, Venezuela";NA;2;"ANDNCT_1996P"
552;"BLVMRC_1996O:BLVMRC_1995O";"Bolivia MERCOSUR";"1996-12-17";"1997-02-28";"http://www.sice.oas.org/tpd/bol_mer/BOL_MER_e.ASP#:~:text=The%20Free%20Trade%20Agreement%20between,superseded%20and%20replaced%20ACE%2034";NA;NA;"Argentina, Brazil, Paraguay, Uruguay, Bolivia";NA;1;"BLVMRC_1996O:BLVMRC_1995O"
553;"CHLMRC_1996O";"Chile MERCOSUR";"1996-06-25";"1996-10-01";"http://www.sice.oas.org/Trade/msch/mschind.asp";NA;NA;"Argentina, Brazil, Paraguay, Uruguay, Chile";NA;2;"CHLMRC_1996O"
554;"ECMEMA_1996A";"EC Morocco Euro-Med Association Agreement";"1996-02-26";"2000-03-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:22000A0318(01)&from=EN";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Morocco";NA;1;"ECMEMA_1996A"
556;"EST-SVK[NA]_1996O";"Estonia Slovakia";"1996-05-28";"1996-07-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Estonia-Slovakia.pdf";NA;NA;"Slovakia, Estonia";NA;2;"EST-SVK[NA]_1996O"
559;"ISR-SVK[NA]_1996O";"Israel Slovakia";"1996-05-20";"1997-12-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Israel-Slovakia.pdf";NA;NA;"Israel, Slovakia";NA;2;"ISR-SVK[NA]_1996O"
560;"LVA-SVK[NA]_1996O";"Latvia Slovakia";"1996-04-19";"1996-07-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Latvia-Slovakia.pdf";NA;NA;"Slovakia, Latvia";NA;2;"LVA-SVK[NA]_1996O"
562;"MKD-SVN[MCD]_1996O";"Macedonia Slovenia";"1996-07-01";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Slovenia-Macedonia.pdf";NA;NA;"Macedonia, Slovenia";NA;2;"MKD-SVN[MCD]_1996O"
570;"AZE-GEO[NA]_1996O";"Georgia Azerbaijan";"1996-03-08";"1996-07-10";"https://www.wto.org/english/thewto_e/acc_e/geo_e/wtaccgeo4a1_leg_24.pdf";NA;NA;"Georgia, Azerbaijan";NA;2;"AZE-GEO[NA]_1996O"
571;"ISR-TUR[NA]_1996O:ISR-TUR[NA]_1996O";"Turkey Israel";"1996-03-14";"1997-05-01";"https://trade.gov.tr/data/5b9111bc13b8770becf1e745/426f0d88a6abd3d657519ad455099e95.pdf";NA;NA;"Turkey, Israel";NA;2;"ISR-TUR[NA]_1996O"
572;"GEO-TKM[NA]_1996O";"Georgia Turkmenistan";"1996-03-20";"2000-01-01";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/122-1.pdf&Open=True";NA;NA;"Georgia, Turkmenistan";NA;2;"GEO-TKM[NA]_1996O"
574;"CZE-LVA[NA]_1996O";"Czech Republic Latvia";"1996-04-15";"1997-09-01";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/45-1.pdf&Open=True";NA;NA;"Czech Republic, Latvia";NA;2;"CZE-LVA[NA]_1996O"
575;"CZE-EST[NA]_1996O";"Czech Republic Estonia";"1996-04-19";"1998-02-12";"https://wits.worldbank.org/GPTAD/PDF/archive/CzechRepublic-Estonia.pdf";NA;NA;"Estonia, Czech Republic";NA;2;"CZE-EST[NA]_1996O"
576;"LVA-SVK[SLV]_1996O";"Slovak Republic Latvia";"1996-04-19";"1997-07-01";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/47-1.pdf&Open=True";NA;NA;"Latvia, Slovakia";NA;2;"LVA-SVK[SLV]_1996O"
577;"LVA-SVN[NA]_1996O";"Slovenia Latvia";"1996-04-22";"1996-08-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Latvia-Slovenia.pdf";NA;NA;"Slovenia, Latvia";NA;2;"LVA-SVN[NA]_1996O"
579;"CZE-ISR[NA]_1996O";"Czech Republic Israel";"1996-05-20";"1997-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/CzechRepublic-Israel.pdf";NA;NA;"Czech Republic, Israel";NA;2;"CZE-ISR[NA]_1996O"
581;"LTU-POL[NA]_1996O";"Poland Lithuania";"1996-06-27";"1997-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Lithuania-Poland.pdf";NA;NA;"Lithuania, Poland";NA;2;"LTU-POL[NA]_1996O"
582;"EST-SVK[SLV]_1996O";"Slovak Republic Estonia";"1996-05-18";"1998-03-13";"https://wits.worldbank.org/GPTAD/PDF/archive/Estonia-Slovakia.pdf";NA;NA;"Slovakia, Estonia";NA;2;"EST-SVK[SLV]_1996O"
583;"ECSLVE_1996A";"EC Slovenia Europe Agreement";"1996-06-10";"1999-02-01";"https://edit.wti.org/document/show/c8565e17-8ecc-40d8-8215-858a88e477a7";"2004-05-01";NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Slovenia";NA;1;"ECSLVE_1996A"
584;"ECFRIS_1996O:ECFRIS_1991O";"EC Faroe Islands";"1996-06-12";"1997-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-FaroeIslands.pdf";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Faroe Islands";NA;1;"ECFRIS_1996O"
588;"CAN-ISR[NA]_1996O";"Canada Israel";"1996-07-31";"1997-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Canada-Israel.pdf";NA;NA;"Canada, Israel";NA;1;"CAN-ISR[NA]_1996O"
589;"STHADC_1996O:STHADC_1992O";"Southern African Development Community (SADC)";"1996-08-24";"2000-01-25";"https://www.wipo.int/edocs/lexdocs/treaties/en/sadc-pr/trt_sadc_pr.pdf";NA;NA;"Angola, Botswana, Comoros, Democratic Republic of Congo, Eswatini, Lesotho, Madagascar, Malawi, Mauritius, Mozambique, Namibia, Seychelles, South Africa, United Republic Tanzania, Zambia, Zimbabwe";NA;1;"STHADC_1996O"
595;"BGR-SVN[NA]_1996O";"Bulgaria Slovenia";"1996-11-11";"1997-01-01";"https://raw.github.com/mappingtreaties/tota/master/xml/pta_184.xml";NA;NA;"Slovenia, Bulgaria";1;2;"BGR-SVN[NA]_1996O"
596;"EST-SVN[NA]_1996O";"Slovenia Estonia";"1996-11-26";"1997-01-01";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/37-1.pdf&Open=True";NA;NA;"Slovenia, Estonia";NA;2;"EST-SVN[NA]_1996O"
597;"LTU-SVK[SLV]_1996O";"Slovak Republic Lithuania";"1996-11-27";"1997-07-01";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/48-1.pdf&Open=True";NA;NA;"Slovakia, Lithuania";NA;2;"LTU-SVK[SLV]_1996O"
598;"LTU-SVK[NA]_1996O";"Lithuania Slovakian";"1996-11-27";"1997-07-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Lithuania-Slovakia.pdf";NA;NA;"Slovakia, Lithuania";NA;2;"LTU-SVK[NA]_1996O"
599;"CAN-CHL[NA]_1996O";"Canada Chile";"1996-12-05";"1997-07-05";"https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/2456/download";"2019-02-05";NA;"Canada, Chile";NA;1;"CAN-CHL[NA]_1996O"
603;"KGZ-UZB[NA]_1996O";"Kyrgyzstan Uzbekistann";"1996-12-24";"1998-03-20";"https://wits.worldbank.org/GPTAD/PDF/archive/Kyrgyzstan-Uzbekistan.pdf";NA;NA;"Kyrgyzstan, Uzbekistan";NA;2;"KGZ-UZB[NA]_1996O"
605;"JOR-ALG[NA]_1997O";"Algeria Jordan";"1997-05-19";"1999-01-31";"https://findrulesoforigin.org/documents/pdf/itc00059_full.pdf";NA;NA;"Jordan, Algeria";NA;2;"JOR-ALG[NA]_1997O"
606;"ANDNCS_1997P";"Andean Community Sucre Protocol";"1997-06-26";"2003-04-14";"http://www.sice.oas.org/trade/junac/Carta_Ag/sucre_e.asp";NA;NA;"Bolivia, Colombia, Ecuador, Peru, Venezuela";NA;2;"ANDNCS_1997P"
608;"BF04TB_1997O";"Baltic Free Trade Area (BAFTA) Non Tariff Barriers";"1997-11-20";"1998-01-07";"https://wits.worldbank.org/GPTAD/PDF/archive/BAFTA-NonTariff.pdf";"2004-05-01";NA;"Estonia, Latvia, Lithuania";NA;2;"BF04TB_1997O"
609;"CRBBCS_1997P";"Caribbean Community (CARICOM) Protocol On Services";"1997-07-01";"";"http://www.sice.oas.org/trade/ccme/PROTOCOL2.asp";NA;NA;"Antigua and Barbuda, Belize, Dominica, Grenada, Haiti, Montserrat, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, The Bahamas, Barbados, Guyana, Jamaica, Suriname, Trinidad and Tobago";NA;2;"CRBBCS_1997P"
611;"HRV-MKD[MCD]_1997O:HRV-MKD[MCD]_1997O";"Croatia Macedonia";"1997-05-09";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Croatia-FYROM.pdf";NA;NA;"Croatia, Macedonia";NA;2;"HRV-MKD[MCD]_1997O:HRV-MKD[MCD]_1997O"
612;"ECAMST_1997O";"EC Amsterdam";"1997-10-02";"1999-05-01";"https://www.europarl.europa.eu/topics/treaty/pdf/amst-en.pdf";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom,";NA;1;"ECAMST_1997O"
613;"ECJEMA_1997A";"EC Jordan Euro-Med Association Agreement";"1997-11-24";"2002-05-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:22002A0515(02)&from=EN";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Jordan";NA;1;"ECJEMA_1997A"
615;"ISR-POL[NA]_1997O";"Israel Poland";"1997-07-21";"1999-05-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Israel-Poland.pdf";NA;NA;"Israel, Poland";NA;2;"ISR-POL[NA]_1997O"
617;"MRCSRS_1997O:MRCSRS_1997O";"MERCOSUR Services";"1997-12-15";"2005-12-07";"https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/2463/download";NA;NA;"Argentina, Brazil, Paraguay, Uruguay";NA;1;"MRCSRS_1997O:MRCSRS_1997O"
618;"SVK-TUR[NA]_1997O";"Slovakia Turkey";"1997-11-20";"1998-09-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Slovakia-Turkey.pdf";NA;NA;"Slovakia, Turkey";NA;2;"SVK-TUR[NA]_1997O"
622;"GIN-MAR[NA]_1997O";"Guinea Morocco";"1997-04-12";"2000-09-06";"https://findrulesoforigin.org/documents/pdf/itc00553_full.pdf";NA;NA;"Guinea, Morocco";NA;2;"GIN-MAR[NA]_1997O"
628;"HUN-TUR[NA]_1997O";"Hungary Turkey";"1997-01-08";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Hungary-Turkey.pdf";NA;NA;"Hungary, Turkey";NA;2;"HUN-TUR[NA]_1997O"
629;"EST-FRO[NA]_1997O";"Estonia Faroe Islands";"1997-11-27";"1998-12-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Estonia-FaroeIslands.pdf";NA;NA;"Estonia, Faroe Islands";NA;2;"EST-FRO[NA]_1997O"
630;"PAFTA_1997O";"Pan-Arab Free Trade Area (PAFTA)";"1997-02-19";"1998-01-01";"https://www.investinegypt.gov.eg/English/pages/AgreementDetails.aspx?id=9";NA;NA;"Egypt, Jordan, Sudan, Oman, Kuwait, Morocco, United Arab Emirates, Tunisia, Syria, Palestine, Lebanon, Yemen, Bahrain, Saudi Arabia, Iraq, Qatar, Libya";1;2;"PNAFTA_1997O"
634;"LVA-POL[NA]_1997O";"Poland Latvia";"1997-04-28";"1999-06-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Latvia-Poland.pdf";NA;NA;"Poland, Latvia";NA;2;"LVA-POL[NA]_1997O"
635;"ROU-TUR[NA]_1997O";"Romania Turkey";"1997-04-29";"1998-02-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Romania-Turkey.pdf";NA;NA;"Romania, Turkey";NA;2;"ROU-TUR[NA]_1997O"
636;"ECFYRM_1997O";"EC FYROM";"1997-04-29";"";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-Macedonia.pdf";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, North Macedonia";NA;2;"ECFYRM_1997O"
638;"LTU-TUR[NA]_1997O";"Turkey Lithuania";"1997-06-02";"1998-03-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Lithuania-Turkey.pdf";NA;NA;"Turkey Lithuania";NA;2;"LTU-TUR[NA]_1997O"
639;"EST-TUR[NA]_1997O";"Turkey Estonia";"1997-06-03";"1998-06-01";"https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/2464/download";NA;NA;"Turkey, Estonia";NA;1;"EST-TUR[NA]_1997O"
640;"EFTMRC_1997O";"EFTA Morocco";"1997-06-19";"1999-12-01";"https://www.efta.int/media/documents/legal-texts/free-trade-relations/morocco/EFTA-Morocco%20Free%20Trade%20Agreement%20EN.pdf";NA;NA;"Iceland, Liechtenstein, Norway, Switzerland, Morocco";NA;1;"EFTMRC_1997O"
641;"CZE-TUR[NA]_1997O";"Czech Republic Turkey";"1997-10-03";"";"https://wits.worldbank.org/GPTAD/PDF/archive/CzechRepublic-Turkey.pdf";NA;NA;"Czech Republic, Turkey";NA;2;"CZE-TUR[NA]_1997O"
642;"HUN-ISR[NA]_1997O";"Hungary Israel";"1997-10-14";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Hungary-Israel.pdf";NA;NA;"Israel, Hungary";NA;2;"HUN-ISR[NA]_1997O"
644;"GEO-KAZ[NA]_1997O";"Georgia Kazakhstan";"1997-11-11";"1999-07-16";"https://wits.worldbank.org/GPTAD/PDF/archive/Georgia-Kazakstan.pdf";NA;NA;"Georgia Kazakhstan";NA;2;"GEO-KAZ[NA]_1997O"
651;"HRV-SVN[NA]_1997O";"Slovenia Croatia";"1997-12-12";"2001-10-01";" https://wits.worldbank.org/GPTAD/PDF/archive/Croatia-Slovenia.pdf";NA;NA;"Croatia, Slovenia";NA;2;"HRV-SVN[NA]_1997O"
652;"MEX-NIC[NA]_1997O:MEX-NIC[NA]_1985O";"Mexico Nicaragua";"1997-12-18";"1998-07-01";"http://www.sice.oas.org/trade/menifta/meni01.asp";NA;NA;"Mexico, Nicaragua";NA;2;"MEX-NIC[NA]_1997O"
654;"CRBCDR_1998O";"Caribbean Community (CARICOM) Dominican Republic";"1998-08-22";"2001-12-01";"http://www.sice.oas.org/trade/ccdr/English/Ccdr_in.asp";NA;NA;"Antigua and Barbuda, Barbados, Belize, Dominica, Grenada, Guyana, Jamaica, Montserrat, St. Kitts and Nevis, Saint Lucia, St. Vincent and the Grenadines, Suriname,Trinidad and Tobago, Dominican Republic";NA;2;"CRBCDR_1998O"
656;"EGY-JOR[NA]_1998O:EGY-JOR[NA]_1967O";"Egypt Jordan";"1998-12-10";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Jordan-Egypt.pdf";NA;NA;"Egypt, Jordan";NA;2;"EGY-JOR[NA]_1998O:EGY-JOR[NA]_1967O"
663;"LVA-UKR[UKA]_1998O";"Latvia Ukraine Agriculture";"1998-02-26";"";"https://likumi.lv/ta/lv/starptautiskie-ligumi/id/866";"2004-05-01";NA;"Latvia, Ukraine";NA;2;"LVA-UKR[UKA]_1998O"
672;"FRO-POL[NA]_1998O";"Faroe Islands Poland";"1998-11-03";"";"https://wits.worldbank.org/GPTAD/PDF/archive/FaroeIslands-Poland.pdf";NA;NA;"Faroe Islands, Poland";NA;2;"FRO-POL[NA]_1998O"
673;"CNTADR_1998O";"Dominican Republic Central America";"1998-04-16";"";"http://www.sice.oas.org/Trade/camdrep/CARdo_2s.asp";NA;NA;"Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua and the Dominican Republic";NA;2;"DMNRCA_1998O"
675;"CHL-MEX[NA]_1998O:CHL-MEX[NA]_1991O";"Chile Mexico";"1998-04-17";"1999-08-01";"https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/2480/download";NA;NA;"Chile, Mexico";NA;1;"CHL-MEX[NA]_1998O"
676;"JOR-TUN[NA]_1998O";"Jordan Tunisia";"1998-04-22";"1999-06-16";"https://wits.worldbank.org/GPTAD/PDF/archive/Jordan-Tunisia.pdf";NA;NA;"Tunisia, Jordan";NA;1;"JOR-TUN[NA]_1998O"
677;"SVN-TUR[NA]_1998O";"Turkey Slovenia";"1998-05-05";"2000-06-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Slovenia-Turkey.pdf";"2004-04-30";NA;"Turkey, Slovenia";NA;1;"SVN-TUR[NA]_1998O"
678;"ISR-SVN[NA]_1998O";"Slovenia Israel";"1998-05-13";"1998-09-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Israel-Slovenia.pdf";NA;NA;"Israel, Slovenia";NA;2;"ISR-SVN[NA]_1998O"
679;"LVA-TUR[NA]_1998O";"Turkey Latvia";"1998-06-16";"2000-07-01";"https://m.likumi.lv/doc.php?id=23020";"2004-04-30";NA;"Turkey, Latvia";NA;1;"LVA-TUR[NA]_1998O"
680;"CHL-PER[NA]_1998O:CHL-PER[NA]_1998O";"Chile Peru";"1998-06-22";"1998-07-01";"http://www.sice.oas.org/Trade/chilper/Chpeind.asp";"2009-03-01";NA;"Chile, Peru";NA;1;"CHL-PER[NA]_1998O"
681;"BGR-TUR[NA]_1998O";"Bulgaria Turkey";"1998-07-11";"";"https://wits.worldbank.org/GPTAD/PDF/archive/Bulgaria-Turkey.pdf";"2007-01-01";NA;"Turkey, Bulgaria";NA;2;"BGR-TUR[NA]_1998O"
685;"EST-HUN[NA]_1998O";"Hungary Estonia";"1998-11-04";"2001-03-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Estonia-Hungary.pdf";NA;1;" Estonia, Hungary";NA;2;"EST-HUN[NA]_1998O"
