HUGGOMetaData;;;;;;;;;;;
;manyID;Title;Signature;Force;url;End;Checked_HUGGO;Parties;No_source;MetaData_confirmed;treatyID
44;ECTRKA_1963A;EC Turkey Association Agreement (Ankara Agreement);12/09/1963;01/12/1964;https://eur-lex.europa.eu/resource.html?uri=cellar:f8e2f9f4-75c8-4f62-ae3f-b86ca5842eee.0008.02/DOC_2&format=PDF;NA;1;Belgium, Germany, France, Italy, Luxembourg, Netherlands, Turkey;NA;2;ECTRKA_1963A
45;FRA-MCO[NA]_1963O;France Monaco;18/05/1963;01/09/1963;https://www.legimonaco.mc/305/legismclois.nsf/db3b0488a44ebcf9c12574c7002a8e84/04140c3c6347e5fac1257c5a002f1867!OpenDocument&Highlight=0,3.038;NA;1;France, Monaco;NA;2;FRA-MCO[NA]_1963O
46;MAR-SEN[NA]_1963O;Morocco Senegal;01/01/1963;01/01/1963;NA;NA;NA;;1;NA;MAR-SEN[NA]_1963O
47;YAONDI_1963O;Yaounde I1963;20/07/1963;01/06/1964;https://edit.wti.org/app.php/document/show/dc5b9a61-b0fc-48dd-9761-434d055aa6b9;01/01/1971;1;Belgium, Germany, France, Italy, Luxembourg, Netherlands, Burundi, Cameroon, Central African Republic, Chad, Congo,Dahomey, Gabon, Ivory Coast, Madagascar, Mali, Mauritania, Niger, Rwanda, Senegal, Somalia, Togo, Upper Volta;NA;1;YAONDI_1963O
48;YAOUND_1963O1:YAOUND_1963O1;Yaounde 1;20/07/1963;01/01/1964;https://raw.github.com/mappingtreaties/tota/master/xml/pta_316.xml;NA;NA;;1;NA;YAOUND_1963O1:YAOUND_1963O1
49;TUR-EC[ECA]_1963A;EEC Turkey Association Agreement Of 1963;12/09/1963;01/12/1964;https://raw.github.com/mappingtreaties/tota/master/xml/pta_242.xml;NA;NA;;NA;NA;TUR-EC[ECA]_1963A
50;CNACEU_1964O;Central African Customs And Economic Union (UDEAC);08/12/1964;01/01/1966;NA;01/01/1998;NA;Cameroon, the Central African Republic, Chad, Congo, and Gabon;1;NA;CNACEU_1964O
51;ZAF-ZWE[NA]_1964O:ZAF-ZWE[NA]_1964O;South Africa Zimbabwe;30/11/1964;01/12/1964;NA;NA;NA;Southern Rhodesia, South Africa;1;NA;ZAF-ZWE[NA]_1964O:ZAF-ZWE[NA]_1964O
52;MRT-TUN[NA]_1964O;Mauritania Tunisia;01/01/1964;NA;NA;NA;NA;;NA;NA;MRT-TUN[NA]_1964O
53;ARBCMM_1964O;Arab Common Market;13/08/1964;01/01/1965;https://raw.github.com/mappingtreaties/tota/master/xml/pta_172.xml;NA;NA;;1;NA;ARBCMM_1964O
54;CAN-USA[APT]_1965A;Canada US Automotive Products Trade Agreement (APTA);01/01/1965;01/01/1966;NA;NA;NA;Canada, United States;1;NA;CAN-USA[APT]_1965A
55;JOR-SYR[SYR]_1965O:JOR-SYR[SYR]_1965O;Jordan Syria;01/01/1965;01/01/1965;NA;NA;NA;;1;NA;JOR-SYR[SYR]_1965O:JOR-SYR[SYR]_1965O
56;AUS-NZL[FRT]_1965A;Australia New Zealand Free Trade Agreement;31/08/1965;01/01/1966;http://www.nzlii.org/nz/legis/hist_act/nzaftaa19651965n46388.pdf;01/01/1983;1;New Zealand, Australia;NA;1;AUS-NZL[FRT]_1965A
